"feature_name","feature_level","module","definition","unit","required_inputs","temporal_direction","generated_by","notes"
"PRECTOTCORR_dormant2d","Level 2 cumulative","cumsum_features","Dormant-season-to-date cumulative sum of PRECTOTCORR, capped after April 30.","sum of source daily unit","PRECTOTCORR","backward-looking/current dormant season",".UFEED_compute_cumsum_features","Southern Hemisphere dates are shifted internally by 183 days, then mapped back."
"T2M_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of T2M; newest/current day has largest weight.","same as source variable","T2M","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"T2M_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of T2M; oldest day in the window has largest weight.","same as source variable","T2M","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"T2M_MAX_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of T2M_MAX; newest/current day has largest weight.","same as source variable","T2M_MAX","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"T2M_MAX_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of T2M_MAX; oldest day in the window has largest weight.","same as source variable","T2M_MAX","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"T2M_MIN_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of T2M_MIN; newest/current day has largest weight.","same as source variable","T2M_MIN","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"T2M_MIN_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of T2M_MIN; oldest day in the window has largest weight.","same as source variable","T2M_MIN","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"T2MDEW_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of T2MDEW; newest/current day has largest weight.","same as source variable","T2MDEW","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"T2MDEW_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of T2MDEW; oldest day in the window has largest weight.","same as source variable","T2MDEW","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"Daily_Temp_Fluctuation_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of Daily_Temp_Fluctuation; newest/current day has largest weight.","same as source variable","Daily_Temp_Fluctuation","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"Daily_Temp_Fluctuation_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of Daily_Temp_Fluctuation; oldest day in the window has largest weight.","same as source variable","Daily_Temp_Fluctuation","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"ALLSKY_SFC_SW_DWN_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of ALLSKY_SFC_SW_DWN; newest/current day has largest weight.","same as source variable","ALLSKY_SFC_SW_DWN","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"ALLSKY_SFC_SW_DWN_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of ALLSKY_SFC_SW_DWN; oldest day in the window has largest weight.","same as source variable","ALLSKY_SFC_SW_DWN","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"ALLSKY_SFC_LW_DWN_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of ALLSKY_SFC_LW_DWN; newest/current day has largest weight.","same as source variable","ALLSKY_SFC_LW_DWN","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"ALLSKY_SFC_LW_DWN_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of ALLSKY_SFC_LW_DWN; oldest day in the window has largest weight.","same as source variable","ALLSKY_SFC_LW_DWN","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"ALLSKY_SFC_PAR_TOT_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of ALLSKY_SFC_PAR_TOT; newest/current day has largest weight.","same as source variable","ALLSKY_SFC_PAR_TOT","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"ALLSKY_SFC_PAR_TOT_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of ALLSKY_SFC_PAR_TOT; oldest day in the window has largest weight.","same as source variable","ALLSKY_SFC_PAR_TOT","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"PRECTOTCORR_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of PRECTOTCORR; newest/current day has largest weight.","same as source variable","PRECTOTCORR","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"PRECTOTCORR_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of PRECTOTCORR; oldest day in the window has largest weight.","same as source variable","PRECTOTCORR","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"RH2M_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of RH2M; newest/current day has largest weight.","same as source variable","RH2M","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"RH2M_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of RH2M; oldest day in the window has largest weight.","same as source variable","RH2M","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"WS2M_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of WS2M; newest/current day has largest weight.","same as source variable","WS2M","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"WS2M_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of WS2M; oldest day in the window has largest weight.","same as source variable","WS2M","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"WD2M_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of WD2M; newest/current day has largest weight.","same as source variable","WD2M","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"WD2M_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of WD2M; oldest day in the window has largest weight.","same as source variable","WD2M","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"WS2M_MAX_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of WS2M_MAX; newest/current day has largest weight.","same as source variable","WS2M_MAX","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"WS2M_MAX_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of WS2M_MAX; oldest day in the window has largest weight.","same as source variable","WS2M_MAX","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"WS2M_MIN_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of WS2M_MIN; newest/current day has largest weight.","same as source variable","WS2M_MIN","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"WS2M_MIN_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of WS2M_MIN; oldest day in the window has largest weight.","same as source variable","WS2M_MIN","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"PS_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of PS; newest/current day has largest weight.","same as source variable","PS","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"PS_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of PS; oldest day in the window has largest weight.","same as source variable","PS","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"GWETROOT_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of GWETROOT; newest/current day has largest weight.","same as source variable","GWETROOT","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"GWETROOT_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of GWETROOT; oldest day in the window has largest weight.","same as source variable","GWETROOT","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"GWETTOP_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of GWETTOP; newest/current day has largest weight.","same as source variable","GWETTOP","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"GWETTOP_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of GWETTOP; oldest day in the window has largest weight.","same as source variable","GWETTOP","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"TSOIL1_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of TSOIL1; newest/current day has largest weight.","same as source variable","TSOIL1","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"TSOIL1_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of TSOIL1; oldest day in the window has largest weight.","same as source variable","TSOIL1","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"TSOIL3_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of TSOIL3; newest/current day has largest weight.","same as source variable","TSOIL3","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"TSOIL3_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of TSOIL3; oldest day in the window has largest weight.","same as source variable","TSOIL3","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"EVPTRNS_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of EVPTRNS; newest/current day has largest weight.","same as source variable","EVPTRNS","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"EVPTRNS_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of EVPTRNS; oldest day in the window has largest weight.","same as source variable","EVPTRNS","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"CLOUD_AMT_EWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking exponentially weighted moving average of CLOUD_AMT; newest/current day has largest weight.","same as source variable","CLOUD_AMT","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default. Present profile excludes ALLSKY_SFC_LW_DWN, ALLSKY_SFC_PAR_TOT, CLOUD_AMT."
"CLOUD_AMT_REWMA_<window>","Level 2 rolling weighted","EWMA_REWMA_features","Backward-looking reverse exponentially weighted moving average of CLOUD_AMT; oldest day in the window has largest weight.","same as source variable","CLOUD_AMT","backward-looking",".UFEED_compute_EWMA_REWMA_features","Default windows: 2,3,4,5,6,7,10,14,21,30,45,60,90 days; full window required by default."
"CU","Level 2 cumulative temperature daily","cumulative_temp_features","Daily chilling units from the CU chilling model after hourly temperature reconstruction.","model units day-1","T2M_MAX, T2M_MIN","same-day reconstructed hourly temperatures",".UFEED_compute_cumulative_temp_features",""
"CU_<window>days","Level 2 rolling sum","cumulative_temp_features","Backward-looking rolling sum of daily CU chilling units.","model units over window","CU","backward-looking",".UFEED_compute_cumulative_temp_features","Default windows: 3,7,14,30,60,90 days."
"CU_dormant2d","Level 2 cumulative","cumulative_temp_features","Dormant-season-to-date cumulative CU chilling units, capped after April 30.","model units","CU","backward-looking/current dormant season",".UFEED_compute_cumulative_temp_features",""
